設置場所名,住所,経度,緯度,投票区
仲の台バス停脇,印西市平賀3834,140.253074,35.751476,第１８投票区ー４: 平賀小学校体育館
学園台入口交差点脇,印西市平賀1200-2地先,140.249966,35.754438,第１８投票区ー５: 平賀小学校体育館
さざなみ第2公園前,印西市平賀学園台2-21-3,140.249725,35.750145,第１８投票区ー６: 平賀小学校体育館
順天堂大学入口,印西市平賀3722,140.259553,35.747215,第１８投票区ー７: 平賀小学校体育館
印旛支所前,印西市美瀬1-25,140.204825,35.779473,第１９投票区ー１: ふれあいセンターいんば３階会議室
日本医大千葉北総病院入口,印西市鎌苅1715,140.202256,35.782281,第１９投票区ー２: ふれあいセンターいんば３階会議室
美瀬の林公園前,印西市美瀬146,140.205544,35.781535,第１９投票区ー３: ふれあいセンターいんば３階会議室
印旛中学校前,印西市舞姫2-1-1,140.204078,35.786049,第１９投票区ー４: ふれあいセンターいんば３階会議室
若萩の丘公園前,印西市若萩3-114,140.208149,35.788122,第１９投票区ー５: ふれあいセンターいんば３階会議室
エストリオいには野前,印西市若萩1-3,140.20472,35.788553,第１９投票区ー６: ふれあいセンターいんば３階会議室
ウェルガーデンA棟前,印西市舞姫2-2,140.204421,35.782885,第１９投票区ー７: ふれあいセンターいんば３階会議室
本埜支所前,印西市笠神2587,140.20223,35.816427,第２０投票区ー１: 本埜支所３階多目的スペース
小手正治宅前,印西市笠神2346-3番地先,140.203474,35.815125,第２０投票区ー２: 本埜支所３階多目的スペース
一区コミュニティセンター前,印西市行徳21,140.209111,35.813256,第２０投票区ー３: 本埜支所３階多目的スペース
辺田前コミュニティセンター前,印西市中根187,140.201764,35.803766,第２０投票区ー４: 本埜支所３階多目的スペース
荒野コミュニティセンター向い,印西市荒野469-2地先,140.197233,35.796657,第２０投票区ー５: 本埜支所３階多目的スペース
角田栄福寺入口,印西市角田2地先,140.192105,35.787015,第２０投票区ー６: 本埜支所３階多目的スペース
五十嵐花園北側畑地,印西市竜腹寺478-1地先,140.188392,35.804805,第２０投票区ー７: 本埜支所３階多目的スペース
旧本埜村元商工会前,印西市中根856-8,140.202641,35.81114,第２０投票区ー８: 本埜支所３階多目的スペース
滝青年館前,印西市滝1008-2,140.179973,35.817669,第２０投票区ー９: 本埜支所３階多目的スペース
諏訪神社入口,印西市物木230番地先,140.191522,35.820345,第２０投票区ー１０: 本埜支所３階多目的スペース
古川橋脇,印西市佐野屋82番地先,140.212431,35.82958,第２１投票区ー１: 旧本埜第二小学校体育館
